accx,accy,accz
-0.015,0.186,-0.443
0.015,0.243,-0.281
-0.03,0.194,-0.141
-0.011,0.123,-0.126
0.026,0.103,-0.055
0.026,0.103,-0.055
0.1,0.129,0.161
0.133,0.076,0.138
0.133,0.076,0.138
0.174,0.032,0.162
0.174,0.032,0.162
0.152,-0.042,0.272
0.225,-0.066,0.266
0.256,-0.066,0.247
0.23,-0.053,0.241
0.236,-0.051,0.201
0.263,-0.032,0.177
0.253,-0.101,0.258
0.208,-0.08,0.333
0.232,-0.131,0.359
0.251,-0.15,0.333
0.248,-0.113,0.338
0.244,-0.061,0.285
0.27,-0.051,0.271
0.257,-0.08,0.254
0.192,-0.078,0.23
0.219,-0.126,0.163
0.197,-0.16,0.128
0.171,-0.148,0.082
0.13,-0.093,0.046
0.146,-0.064,-0.006
0.146,-0.042,-0.074
0.109,-0.016,-0.071
0.086,0.005,-0.085
0.05,-0.017,-0.094
0.067,-0.053,-0.129
0.009,-0.052,-0.166
-0.024,-0.005,-0.203
-0.072,0.053,-0.232
-0.033,0.128,-0.226
-0.039,0.159,-0.229
-0.064,0.135,-0.225
-0.091,0.122,-0.189
-0.156,0.074,-0.143
-0.129,0.024,-0.162
-0.177,0.04,-0.115
-0.163,0.069,-0.1
-0.197,0.131,-0.064
-0.163,0.138,-0.106
-0.177,0.068,-0.114
-0.194,0.062,-0.104
-0.225,0.035,-0.089
-0.231,0.008,-0.123
-0.216,0.005,-0.089
-0.219,-0.016,-0.085
-0.2,-0.011,-0.117
-0.244,0.019,-0.184
-0.204,-0.015,-0.167
-0.214,-0.009,-0.225
-0.203,-0.02,-0.197
-0.206,-0.018,-0.107
-0.22,-0.077,-0.074
-0.168,-0.113,-0.079
-0.179,-0.126,-0.17
-0.184,-0.107,-0.147
-0.167,-0.074,-0.183
-0.152,-0.087,-0.163
-0.142,-0.118,-0.104
-0.144,-0.157,-0.051
-0.139,-0.203,-0.008
-0.066,-0.272,0.019
-0.088,-0.263,0.058
-0.078,-0.243,0.126
-0.014,-0.261,0.093
0.027,-0.223,0.012
0.004,-0.177,0.018
-0.062,0.073,-0.023
-0.052,0.07,-0.172
-0.047,0.107,-0.233
-0.017,0.157,-0.201
-0.037,0.149,-0.119
-0.057,0.128,-0.073
-0.037,0.078,-0.07
-0.037,0.078,-0.07
-0.049,0.162,-0.056
-0.049,0.162,-0.056
-0.049,0.168,-0.031
-0.036,0.179,0.055
-0.036,0.179,0.055
0.012,0.128,0.022
