# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:26:27.126
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011166,0.2040,-0.1500,-0.5890,0.64
0.026599,0.0970,-0.1620,-0.4620,0.50
0.041905,-0.2640,-0.0470,0.1370,0.30
0.042383,-0.2640,-0.0470,0.1370,0.30
0.055991,-0.2910,-0.0160,0.1900,0.35
0.060488,-0.2620,0.1150,-0.0170,0.29
0.073480,-0.2620,0.1150,-0.0170,0.29
0.087805,-0.1970,0.1190,-0.3810,0.45
0.088335,-0.1970,0.1190,-0.3810,0.45
0.106956,-0.2590,0.1030,-0.4560,0.53
0.110529,-0.4570,0.1710,-0.0840,0.50
0.123283,-0.4570,0.1710,-0.0840,0.50
0.138479,-0.4910,0.2370,0.1970,0.58
0.139015,-0.4910,0.2370,0.1970,0.58
0.153863,-0.4280,0.1750,0.1690,0.49
0.165915,-0.3150,0.1230,-0.0490,0.34
0.170283,-0.2830,0.1150,-0.1290,0.33
0.182688,-0.4020,0.1970,0.0740,0.45
0.189920,-0.5130,0.2030,0.3700,0.66
0.199602,-0.5130,0.2030,0.3700,0.66
0.226194,-0.3020,0.0300,0.4460,0.54
0.226483,-0.3020,0.0300,0.4460,0.54
0.237681,-0.1940,-0.0280,0.3240,0.38
0.239745,-0.1390,-0.0690,0.3280,0.36
0.251543,-0.1390,-0.0690,0.3280,0.36
0.264223,0.0100,-0.1140,0.0530,0.13
0.270377,0.0870,-0.1350,-0.0580,0.17
0.282473,-0.0270,-0.0470,0.0040,0.05
0.289898,-0.1190,-0.0330,0.0360,0.13
0.299000,-0.1190,-0.0330,0.0360,0.13
0.315925,-0.0490,-0.0950,-0.1520,0.19
0.320412,0.0350,-0.1270,-0.2160,0.25
0.334972,0.0450,-0.1510,-0.3590,0.39
0.340562,0.0580,-0.0690,-0.2310,0.25
0.351394,0.0580,-0.0690,-0.2310,0.25
0.368713,0.0000,-0.0520,0.1450,0.15
0.369083,0.0000,-0.0520,0.1450,0.15
0.386968,0.1490,-0.0900,0.0950,0.20
0.390346,0.1190,-0.1020,-0.0780,0.18
0.405102,0.1190,-0.1020,-0.0780,0.18
0.419974,-0.0840,-0.0100,-0.1450,0.17
0.420429,-0.0840,-0.0100,-0.1450,0.17
0.438490,-0.1010,0.0780,-0.0440,0.13
0.438935,-0.1010,0.0780,-0.0440,0.13
0.454943,-0.1320,0.0690,0.0470,0.16
0.472104,-0.1180,0.0150,0.0840,0.15
0.472603,-0.1180,0.0150,0.0840,0.15
0.487232,0.0500,-0.0410,0.0450,0.08
0.490323,0.1190,-0.0310,0.0260,0.13
0.504388,0.1190,-0.0310,0.0260,0.13
0.518414,0.1990,-0.0570,0.0480,0.21
0.518860,0.1990,-0.0570,0.0480,0.21
0.537067,0.3160,-0.0700,-0.0260,0.32
0.540601,0.3110,-0.0840,0.0070,0.32
0.553591,0.3110,-0.0840,0.0070,0.32
0.569183,0.2630,-0.1820,0.0660,0.33
0.569660,0.2630,-0.1820,0.0660,0.33
0.587056,0.1850,-0.1260,0.1640,0.28
0.590702,0.1530,0.0000,0.2490,0.29
0.603959,0.1530,0.0000,0.2490,0.29
0.620186,0.1470,0.0820,-0.0040,0.17
0.620673,0.1470,0.0820,-0.0040,0.17
0.638709,0.0730,0.1980,-0.3740,0.43
0.639349,0.0730,0.1980,-0.3740,0.43
0.653134,0.0510,0.2310,-0.5970,0.64
0.670468,-0.0620,0.2260,-0.8000,0.83
0.670958,-0.0620,0.2260,-0.8000,0.83
0.687443,-0.2760,0.2640,-0.1270,0.40
0.690501,-0.2640,0.2270,-0.0970,0.36
0.704785,-0.2640,0.2270,-0.0970,0.36
0.717755,0.0300,0.2320,-0.1990,0.31
0.718273,0.0300,0.2320,-0.1990,0.31
0.737515,0.1100,0.1160,-0.3790,0.41
0.739906,0.1100,0.1160,-0.3790,0.41
0.752167,0.1860,0.0840,-0.5810,0.62
0.770645,0.2440,0.0810,-0.6070,0.66
0.771299,0.2560,0.0790,-0.4730,0.54
0.786300,0.1940,0.0570,-0.3380,0.39
0.789533,0.0940,0.0630,-0.1750,0.21
0.802389,0.0610,0.1050,-0.1380,0.18
0.820370,0.0880,0.0770,-0.0840,0.14
0.820871,0.1230,0.0460,-0.1730,0.22
0.836219,0.1580,-0.0150,-0.0960,0.19
0.840643,0.2370,-0.0940,-0.2790,0.38
0.853728,0.2370,-0.0940,-0.2790,0.38
0.867631,0.3560,-0.0920,-0.2890,0.47
0.870363,0.3330,-0.1110,-0.3440,0.49
0.887035,0.3290,-0.1540,-0.3460,0.50
0.890578,0.3410,-0.1210,-0.2880,0.46
0.902751,0.3410,-0.1210,-0.2880,0.46
0.919078,0.0780,-0.1480,0.0300,0.17
0.919726,0.0780,-0.1480,0.0300,0.17
0.936023,0.0660,-0.0880,0.0180,0.11
0.940918,-0.0700,-0.0850,0.2400,0.26
0.953377,-0.0700,-0.0850,0.2400,0.26
0.967481,0.1200,-0.1420,0.0170,0.19
0.970432,0.1520,-0.1330,0.1140,0.23
0.986793,0.0050,-0.1790,0.3330,0.38
0.990939,-0.0940,-0.1860,0.3780,0.43
1.004592,-0.0940,-0.1860,0.3780,0.43
1.019080,-0.0610,-0.1000,0.1410,0.18
1.019769,-0.0610,-0.1000,0.1410,0.18
1.035436,-0.2940,-0.0090,0.2930,0.42
1.041137,-0.2420,-0.0210,0.2350,0.34
1.054321,-0.2420,-0.0210,0.2350,0.34
1.067828,-0.0270,-0.0300,0.0220,0.05
1.068373,-0.0270,-0.0300,0.0220,0.05
1.086290,0.0380,-0.1120,0.0850,0.15
1.090383,0.1060,-0.1460,-0.0060,0.18
1.103811,0.1060,-0.1460,-0.0060,0.18
1.117444,0.2580,-0.2040,-0.0560,0.33
1.118969,0.2110,-0.2430,0.0990,0.34
1.135543,0.1530,-0.3000,0.0250,0.34
1.139735,0.2420,-0.2690,-0.1890,0.41
1.153884,0.3250,-0.1790,-0.3350,0.50
1.168709,0.3220,-0.1370,-0.2890,0.45
1.169342,0.2410,-0.1380,-0.1850,0.33
1.184469,0.2440,-0.2190,-0.1570,0.36
1.189350,0.2370,-0.2890,-0.1260,0.39
1.202055,0.1790,-0.2910,-0.0980,0.36
1.219351,0.0610,-0.2550,-0.0150,0.26
1.220018,-0.0220,-0.1470,0.0430,0.15
1.236011,-0.1680,-0.0450,0.1140,0.21
1.239032,-0.3620,0.0710,0.2520,0.45
1.251647,-0.6330,0.2120,0.3390,0.75
1.268368,-0.8000,0.3650,0.3690,0.95
1.269031,-1.0070,0.4620,0.3920,1.18
1.284309,-1.2190,0.4870,0.4170,1.38
1.289410,-1.4110,0.5320,0.4180,1.56
1.301914,-1.4840,0.5570,0.3590,1.63
1.313461,-1.4650,0.6210,0.2500,1.61
1.318629,-1.4770,0.6850,0.1800,1.64
1.329087,-1.4450,0.6850,0.2150,1.61
1.344268,-1.3150,0.5650,0.2570,1.45
1.348877,-1.3150,0.5650,0.2570,1.45
1.361260,-1.1980,0.4970,0.2510,1.32
1.371644,-1.1600,0.4480,0.0660,1.25
1.382316,-1.0980,0.4200,-0.1360,1.18
1.395928,-1.0700,0.3980,-0.2620,1.17
1.398450,-0.9750,0.3780,-0.4040,1.12
1.410604,-0.8310,0.3390,-0.5740,1.07
1.421379,-0.3830,0.1020,-0.4400,0.59
1.428898,-0.3830,0.1020,-0.4400,0.59
1.444627,0.0260,-0.2470,-0.1480,0.29
1.450941,0.1980,-0.3320,-0.0670,0.39
1.464304,0.1980,-0.3320,-0.0670,0.39
1.482360,0.5210,-0.4860,0.0150,0.71
1.482798,0.5210,-0.4860,0.0150,0.71
1.501789,0.6580,-0.4250,-0.1550,0.80
1.502322,0.6580,-0.4250,-0.1550,0.80
1.517308,0.6780,-0.3730,-0.1200,0.78
1.520803,0.6030,-0.3800,0.1080,0.72
1.534183,0.6030,-0.3800,0.1080,0.72
1.549992,0.5470,-0.4400,0.2270,0.74
1.550506,0.5470,-0.4400,0.2270,0.74
1.567947,0.4700,-0.4230,0.2680,0.69
1.568489,0.4230,-0.3940,0.2070,0.61
1.582959,0.3850,-0.2620,0.0070,0.47
1.600152,0.2890,-0.0970,-0.2840,0.42
1.600646,0.2890,-0.0970,-0.2840,0.42
1.617871,0.1360,-0.0840,-0.3510,0.39
1.618434,-0.0830,-0.0230,-0.3610,0.37
1.633392,-0.2390,0.0190,-0.3710,0.44
1.648056,-0.3530,0.1270,-0.4570,0.59
1.648620,-0.3530,0.1270,-0.4570,0.59
1.665257,-0.5150,0.2070,-0.2500,0.61
1.669644,-0.6500,0.2620,-0.1790,0.72
1.679382,-0.6500,0.2620,-0.1790,0.72
1.692073,-0.4980,0.2670,-0.1980,0.60
1.699263,-0.3820,0.2640,-0.1150,0.48
1.711643,-0.3820,0.2640,-0.1150,0.48
1.720249,-0.4220,0.2120,0.0750,0.48
1.731210,-0.4220,0.2120,0.0750,0.48
1.743607,-0.4480,0.2120,0.1590,0.52
1.749663,-0.4620,0.2510,0.2380,0.58
1.762315,-0.4620,0.2510,0.2380,0.58
1.779152,-0.4430,0.3220,0.3510,0.65
1.779684,-0.3640,0.2950,0.4390,0.64
1.798233,-0.2210,0.2150,0.5960,0.67
1.798847,-0.2210,0.2150,0.5960,0.67
1.813387,-0.2320,0.1210,0.6390,0.69
1.820134,0.0190,-0.0300,0.5960,0.60
1.831265,0.0190,-0.0300,0.5960,0.60
1.845780,0.5170,-0.0700,0.2990,0.60
1.849646,0.6610,-0.2040,0.3210,0.76
1.862893,0.6610,-0.2040,0.3210,0.76
1.869897,0.5210,-0.4720,0.3390,0.78
1.880274,0.5210,-0.4720,0.3390,0.78
1.895440,0.5970,-0.3280,-0.3030,0.75
1.899706,0.6790,-0.2410,-0.5020,0.88
1.913189,0.6790,-0.2410,-0.5020,0.88
1.919800,0.7190,-0.1430,-0.7360,1.04
1.929378,0.7190,-0.1430,-0.7360,1.04
1.944694,0.4220,-0.0650,-0.7820,0.89
1.949686,0.3180,-0.0950,-0.9590,1.01
