# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:20:43.166
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012553,-0.0410,0.1100,0.2660,0.29
0.013129,-0.1100,0.1800,0.2660,0.34
0.032782,-0.0910,0.1390,0.2160,0.27
0.033184,-0.0910,0.1390,0.2160,0.27
0.047731,-0.1650,0.0850,0.2570,0.32
0.060043,-0.3540,0.1850,0.0010,0.40
0.072059,-0.2730,0.1260,-0.1700,0.35
0.074404,-0.1550,0.0710,-0.2060,0.27
0.086346,0.0940,-0.0580,-0.1640,0.20
0.104670,0.2660,-0.0320,-0.2020,0.34
0.104961,0.4790,-0.0350,-0.0360,0.48
0.120170,0.6100,-0.0250,0.1270,0.62
0.124788,0.6050,-0.0080,0.2080,0.64
0.137739,0.5150,0.0390,0.2520,0.57
0.154832,0.4110,0.1090,0.1920,0.47
0.155273,0.2620,0.1190,0.0770,0.30
0.170082,0.0890,0.1070,0.0480,0.15
0.174910,-0.0350,0.1290,-0.0320,0.14
0.189031,-0.0530,0.1530,-0.0140,0.16
0.203261,0.0650,0.1400,0.0520,0.16
0.203635,0.2050,0.0780,0.0130,0.22
0.220491,0.2830,0.0520,0.1150,0.31
0.236742,0.2910,0.0480,0.2370,0.38
0.237105,0.2450,0.0570,0.2130,0.33
0.253285,0.2100,0.0470,0.1350,0.25
0.253647,0.0990,0.0360,-0.0090,0.11
0.270783,0.0290,0.0280,-0.0540,0.07
0.275460,0.0000,0.0360,-0.0860,0.09
0.287559,0.0240,-0.0150,-0.1070,0.11
0.302557,0.0100,-0.0510,-0.0190,0.06
0.302954,-0.0590,-0.0110,-0.0600,0.08
0.320445,-0.0640,-0.0340,-0.0470,0.09
0.324258,-0.0730,0.0010,0.0240,0.08
0.337245,-0.0310,0.0290,0.0400,0.06
0.352422,-0.0250,-0.0370,0.0790,0.09
0.352771,-0.0310,0.0040,0.0970,0.10
0.369298,-0.0310,0.0040,0.0970,0.10
0.385500,-0.1070,-0.0090,0.0830,0.14
0.385886,-0.1420,-0.0040,0.0010,0.14
0.403998,-0.1700,0.0020,-0.0710,0.18
0.404396,-0.1700,0.0020,-0.0710,0.18
0.420365,-0.1360,0.0160,-0.2480,0.28
0.423528,-0.0830,0.0070,-0.2080,0.22
0.436310,-0.0300,0.0040,-0.2310,0.23
0.452271,-0.0160,0.0100,-0.2250,0.23
0.452720,-0.0110,0.0270,-0.1150,0.12
0.469077,-0.0060,-0.0080,-0.0240,0.03
0.487557,0.0180,0.0070,-0.0290,0.03
0.487972,0.0060,-0.0060,0.0260,0.03
0.502933,-0.0500,0.0630,0.0150,0.08
0.503476,-0.0500,0.0630,0.0150,0.08
0.519565,-0.0600,0.0310,0.0200,0.07
0.523366,-0.0760,0.0390,0.0560,0.10
0.536327,-0.1010,0.0630,-0.0620,0.13
0.553667,-0.0660,0.0510,-0.0800,0.12
0.554092,-0.1140,0.0820,-0.1160,0.18
0.569418,-0.1300,0.0550,0.0270,0.14
0.573149,-0.0780,0.0530,0.1600,0.19
0.585222,-0.0780,0.0530,0.1600,0.19
0.600433,0.0710,0.0580,-0.0340,0.10
0.603250,-0.0840,0.0860,-0.1750,0.21
0.618568,-0.1310,0.1060,-0.2100,0.27
0.634712,-0.1550,0.1020,-0.3470,0.39
0.635249,-0.0260,0.0740,-0.1950,0.21
0.652081,0.0540,0.0240,-0.0880,0.11
0.669075,0.1610,-0.0100,0.0050,0.16
0.669522,0.1620,0.0210,-0.0440,0.17
0.684903,0.1120,0.0150,-0.0320,0.12
0.685332,0.0370,0.0720,0.0470,0.09
0.702943,0.0150,0.0760,0.0100,0.08
0.703555,0.0150,0.0760,0.0100,0.08
0.716663,-0.0100,0.0420,-0.1250,0.13
0.735056,-0.0730,0.0820,-0.1390,0.18
0.735622,-0.0880,0.0890,-0.1830,0.22
0.749745,-0.0530,0.0350,-0.1300,0.14
0.753056,-0.0370,0.0130,-0.0390,0.06
0.766507,-0.0090,-0.0020,-0.0390,0.04
0.784462,0.0010,-0.0310,0.0520,0.06
0.784959,0.0570,-0.0440,0.1740,0.19
0.801767,0.0930,-0.0630,0.2230,0.25
0.804436,0.1650,-0.0510,0.1830,0.25
0.817753,0.1240,-0.0670,0.1720,0.22
0.834019,-0.0270,-0.0470,0.1640,0.17
0.834446,-0.1710,0.0380,0.0780,0.19
0.851225,-0.2130,0.0000,0.0140,0.21
0.866933,-0.1480,0.0340,-0.0920,0.18
0.867482,-0.1480,0.0340,-0.0920,0.18
0.883547,-0.1290,0.0080,-0.1260,0.18
0.883787,-0.0420,0.0390,-0.0810,0.10
0.894518,-0.0480,0.0450,0.0420,0.08
0.911553,0.0260,0.0490,0.0860,0.10
0.919011,0.0260,0.0180,0.0230,0.04
0.928737,0.0260,0.0180,0.0230,0.04
0.944701,-0.0570,0.0550,-0.1130,0.14
0.944946,-0.0570,0.0550,-0.1130,0.14
0.961806,-0.0420,0.0330,-0.1310,0.14
0.968763,-0.0550,0.0060,-0.1360,0.15
0.978251,-0.0550,0.0060,-0.1360,0.15
0.997257,-0.0830,-0.0110,-0.1460,0.17
0.997716,-0.0440,-0.0020,-0.1630,0.17
1.017009,0.0160,-0.0150,-0.1710,0.17
1.017494,0.0320,-0.0400,-0.0350,0.06
1.034671,0.0160,-0.0420,0.0290,0.05
1.035366,0.0160,-0.0420,0.0290,0.05
1.052229,-0.0630,-0.0210,0.0220,0.07
1.063986,-0.0730,0.0130,-0.0380,0.08
1.064189,-0.0560,0.0050,-0.0390,0.07
1.076491,-0.0680,-0.0110,0.0040,0.07
1.093671,-0.1080,-0.0050,0.0000,0.11
1.093883,-0.1350,0.0050,0.0540,0.15
1.110590,-0.1010,-0.0070,0.1100,0.15
1.118188,-0.0660,-0.0310,0.0860,0.11
1.133139,-0.0390,0.0070,0.0670,0.08
1.133462,-0.0390,0.0070,0.0670,0.08
1.144698,-0.0760,0.0310,0.0000,0.08
1.158587,-0.1100,0.0410,-0.0290,0.12
1.168541,0.0970,-0.0450,0.0380,0.11
1.176143,0.2250,-0.0650,0.0780,0.25
1.194517,0.2200,-0.0320,0.0250,0.22
1.194744,0.1740,0.0120,-0.0360,0.18
1.215025,0.0830,-0.0120,-0.0560,0.10
1.215467,0.0500,0.0080,-0.0890,0.10
1.232320,0.0920,0.0230,-0.1110,0.15
1.232728,0.0920,0.0230,-0.1110,0.15
1.249808,0.1180,-0.0110,-0.1670,0.20
1.267776,0.0780,0.0180,-0.2290,0.24
1.268197,0.0720,0.0370,-0.2130,0.23
1.283567,0.1510,-0.0090,-0.0540,0.16
1.283964,0.1510,-0.0090,-0.0540,0.16
1.300397,0.2260,-0.0290,0.1690,0.28
1.317199,0.2340,-0.0460,0.0870,0.25
1.317565,0.0920,-0.0180,0.0400,0.10
1.331313,-0.0380,0.0030,0.0050,0.04
1.336674,-0.0690,-0.0100,-0.0590,0.09
1.350514,0.0220,-0.0490,0.0310,0.06
1.366638,0.0570,-0.0820,0.0840,0.13
1.367007,0.0570,-0.0820,0.0840,0.13
1.382483,0.0120,-0.0510,0.1050,0.12
1.382875,0.0120,-0.0510,0.1050,0.12
1.399837,0.0180,-0.0760,0.0030,0.08
1.416149,0.0630,-0.0730,-0.0710,0.12
1.416637,0.0450,-0.0760,-0.0910,0.13
1.432777,-0.0060,-0.0460,-0.1300,0.14
1.433188,-0.0060,-0.0460,-0.1300,0.14
1.449267,-0.0290,-0.0620,0.0220,0.07
1.465447,-0.0280,-0.0950,0.0910,0.13
1.465825,0.0210,-0.0710,0.0960,0.12
1.482894,0.0670,-0.0780,0.0620,0.12
1.483439,0.0670,-0.0780,0.0620,0.12
1.498289,0.0080,-0.0020,-0.0710,0.07
1.517459,0.0550,0.0020,0.0030,0.06
1.517895,0.0700,-0.0280,0.0460,0.09
1.532621,0.1130,-0.0230,0.1110,0.16
1.533070,0.1130,-0.0230,0.1110,0.16
1.548225,0.0790,-0.0280,0.0440,0.09
1.565761,0.0480,0.0040,-0.0050,0.05
1.566171,0.0790,-0.0190,-0.0330,0.09
1.581336,0.1460,-0.0210,0.0260,0.15
1.585539,0.1890,-0.0620,0.0140,0.20
1.599205,0.2010,-0.0640,0.0040,0.21
1.614204,0.1670,-0.0280,-0.0570,0.18
1.614647,0.0950,-0.0260,-0.0690,0.12
1.633201,0.0930,-0.0280,-0.0350,0.10
1.633647,0.0930,-0.0280,-0.0350,0.10
1.648420,0.1290,-0.0490,0.0230,0.14
1.666467,0.1050,-0.0250,0.0090,0.11
1.666912,0.0060,-0.0460,-0.0230,0.05
1.680203,-0.0530,0.0060,-0.0380,0.07
1.684952,-0.0510,-0.0510,0.0210,0.08
1.698051,-0.0170,-0.0820,0.0980,0.13
1.713650,0.0680,-0.0790,0.2970,0.31
1.714068,0.1280,-0.0820,0.2800,0.32
1.731860,0.0800,-0.0810,0.2160,0.24
1.734956,-0.0100,-0.0210,0.1010,0.10
1.748006,-0.0720,0.0190,-0.0010,0.07
1.764881,-0.0660,0.0070,-0.1540,0.17
1.765330,-0.0040,-0.0350,-0.2060,0.21
1.781300,0.0430,-0.0310,-0.2450,0.25
