# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:18:48.984
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004816,-0.1590,-0.1440,-0.0430,0.22
0.018426,-0.0690,-0.2000,0.0070,0.21
0.021348,-0.0050,-0.0900,0.1470,0.17
0.032534,0.0720,-0.0550,0.2070,0.23
0.041100,0.1050,-0.0380,0.2490,0.27
0.051129,0.0880,-0.0820,0.2450,0.27
0.064697,0.0830,-0.1500,0.2490,0.30
0.071475,0.1600,-0.1630,0.2750,0.36
0.082258,0.1420,-0.1520,0.2930,0.36
0.091342,-0.0340,-0.1440,0.1910,0.24
0.100975,-0.0660,-0.1280,0.0700,0.16
0.114536,0.0050,-0.1350,0.0040,0.14
0.120915,0.0440,-0.1010,0.0160,0.11
0.131888,0.0440,-0.1010,0.0160,0.11
0.140854,-0.0760,-0.0320,0.0260,0.09
0.150862,0.0050,-0.0910,-0.2030,0.22
0.164862,0.0580,-0.0630,-0.2420,0.26
0.171873,-0.0010,-0.1170,-0.1230,0.17
0.181909,-0.0010,-0.1170,-0.1230,0.17
0.190994,-0.1630,-0.0100,0.2400,0.29
0.200745,-0.1680,0.1050,0.1380,0.24
0.214455,-0.0800,0.1190,-0.0050,0.14
0.220504,0.1030,0.0540,-0.2040,0.23
0.231464,0.1030,0.0540,-0.2040,0.23
0.240554,0.1360,0.0330,-0.2220,0.26
0.250534,-0.0680,0.0640,-0.0540,0.11
0.265990,-0.0650,0.0510,0.0330,0.09
0.270730,-0.0260,0.0560,0.0240,0.07
0.281255,-0.0260,0.0560,0.0240,0.07
0.290591,-0.0360,0.0410,0.0000,0.05
0.300393,-0.1570,0.0520,-0.0280,0.17
0.317872,-0.1420,0.0720,-0.0570,0.17
0.320442,-0.1410,0.0760,-0.0860,0.18
0.330505,-0.1410,0.0760,-0.0860,0.18
0.340377,-0.3470,0.1080,0.1910,0.41
0.350439,-0.2730,0.1570,0.0720,0.32
0.364556,-0.2680,0.1710,-0.0580,0.32
0.370533,-0.1790,0.1370,-0.2940,0.37
0.380530,-0.1790,0.1370,-0.2940,0.37
0.396227,-0.0250,0.0990,-0.3000,0.32
0.400334,-0.1390,0.1140,-0.1800,0.25
0.413456,-0.1920,0.1540,-0.0100,0.25
0.420200,-0.1610,0.1400,0.0330,0.22
0.430421,-0.1610,0.1400,0.0330,0.22
0.440152,-0.0370,0.0240,-0.0980,0.11
0.450071,-0.0790,0.0840,-0.2050,0.24
0.463380,-0.1250,0.0980,-0.1830,0.24
0.480006,-0.1040,0.1040,-0.2230,0.27
0.480309,-0.0980,0.1470,-0.2450,0.30
0.497407,-0.0840,-0.1140,0.0780,0.16
0.505082,-0.1300,-0.0590,0.2170,0.26
0.513615,-0.1040,0.0220,0.1700,0.20
0.520825,-0.0490,0.0080,0.0960,0.11
0.531096,-0.0490,0.0080,0.0960,0.11
0.540122,0.0620,-0.0520,0.1040,0.13
0.550206,0.0660,0.0270,0.1240,0.14
0.564123,0.0540,0.0590,0.1240,0.15
0.570283,0.0150,0.2790,-0.0740,0.29
0.581259,0.0150,0.2790,-0.0740,0.29
0.596284,0.1790,0.2150,-0.2700,0.39
0.605025,0.0940,0.2050,-0.2750,0.36
0.613879,0.0410,0.2420,-0.2040,0.32
0.631157,0.0530,0.2070,-0.0790,0.23
0.631367,0.1150,0.1840,-0.0680,0.23
0.640543,0.1520,0.2180,-0.0870,0.28
0.655010,0.1070,0.1950,0.0370,0.23
0.663752,-0.0480,0.2260,-0.0040,0.23
0.681254,-0.0880,0.2080,-0.0980,0.25
0.681367,0.0000,0.1720,-0.1590,0.23
0.696540,0.0260,0.1650,-0.1690,0.24
0.704793,-0.0200,0.1750,-0.1170,0.21
0.713419,-0.0650,0.1770,-0.0030,0.19
0.729965,-0.0310,0.1620,0.0350,0.17
0.730078,0.0310,0.1640,-0.0110,0.17
