# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:10:55.588
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.025632,-0.5080,0.2330,0.1410,0.58
0.049847,-0.4750,0.2980,-0.1470,0.58
0.050664,-0.5250,0.2560,-0.0760,0.59
0.068936,-0.6180,0.2840,0.0780,0.68
0.069640,-0.6180,0.2840,0.0780,0.68
0.083714,-0.6670,0.1340,0.0280,0.68
0.088835,-0.7320,0.0920,-0.0100,0.74
0.105126,-0.8390,0.1530,-0.1090,0.86
0.105882,-0.8390,0.1530,-0.1090,0.86
0.119247,-0.8620,0.0920,-0.1490,0.88
0.137184,-0.9020,0.0730,-0.1380,0.92
0.137891,-0.8660,0.0180,-0.0850,0.87
0.153486,-0.8860,-0.0440,0.0220,0.89
0.157111,-0.8760,-0.0700,0.2350,0.91
0.171070,-0.7820,-0.1690,0.3750,0.88
0.184686,-0.6390,-0.2440,0.3830,0.78
0.185083,-0.5650,-0.2520,0.4630,0.77
0.201962,-0.5260,-0.3220,0.4970,0.79
0.208205,-0.5290,-0.3680,0.4350,0.78
0.217074,-0.5340,-0.4460,0.4000,0.80
0.231022,-0.5200,-0.4530,0.3070,0.75
0.236566,-0.5570,-0.4080,0.3040,0.75
0.246870,-0.5200,-0.4060,0.1790,0.68
0.263257,-0.4340,-0.3720,-0.0420,0.57
0.271226,-0.3530,-0.3420,-0.0720,0.50
0.289616,-0.3060,-0.2800,0.0330,0.42
0.290053,-0.3060,-0.2800,0.0330,0.42
0.299358,-0.3020,-0.1750,0.0190,0.35
0.306289,-0.0430,-0.2810,-0.1410,0.32
0.315525,-0.0090,-0.1980,-0.1470,0.25
0.328893,0.1070,-0.1250,-0.1780,0.24
0.335579,0.2090,-0.1130,-0.1150,0.26
0.347607,0.2090,-0.1130,-0.1150,0.26
0.355660,0.3620,-0.0560,-0.2510,0.44
0.365827,0.4280,-0.0630,-0.3230,0.54
0.382012,0.3710,-0.0440,-0.1970,0.42
0.385984,0.3320,-0.0510,-0.1390,0.36
0.400406,0.3460,-0.0640,-0.1490,0.38
0.406415,0.3420,0.0420,-0.1940,0.40
0.419885,0.3530,0.0690,-0.2080,0.42
0.435019,0.4190,0.0890,-0.2310,0.49
0.435578,0.4190,0.0890,-0.2310,0.49
0.452170,0.5620,0.1440,-0.2110,0.62
0.456136,0.6390,0.0950,-0.1970,0.68
0.469276,0.5770,0.0540,-0.1170,0.59
0.483759,0.5330,-0.0410,-0.0330,0.54
0.485795,0.3500,-0.0500,0.0120,0.35
0.501385,0.2550,-0.1860,0.1930,0.37
0.505759,0.2650,-0.3710,0.4590,0.65
0.518108,0.2650,-0.5050,0.6480,0.86
0.532952,0.2940,-0.5340,0.8700,1.06
0.551270,0.8020,-0.8960,0.9450,1.53
0.551906,0.8020,-0.8960,0.9450,1.53
0.566288,0.2260,0.0900,0.8970,0.93
0.566871,0.2260,0.0900,0.8970,0.93
0.584874,0.1490,0.3300,0.8820,0.95
0.585401,0.1490,0.3300,0.8820,0.95
0.599959,0.1020,0.4280,0.6690,0.80
0.617420,0.0390,0.5540,0.4530,0.72
0.618108,0.0390,0.5540,0.4530,0.72
0.633061,0.0960,0.4270,0.5510,0.70
0.650032,0.2420,0.3510,0.6190,0.75
0.650626,0.2930,0.3610,0.7520,0.88
0.666475,0.3890,0.2910,0.9670,1.08
0.667035,0.5970,0.0530,1.0460,1.21
0.683601,0.8620,-0.3800,1.2830,1.59
0.701186,1.1980,-0.8940,1.5500,2.15
0.701879,1.2550,-1.3070,1.8210,2.57
0.715381,1.1480,-1.6300,2.1230,2.91
0.715951,0.9940,-1.8570,2.2580,3.09
0.732847,0.9940,-1.8570,2.2580,3.09
0.747059,0.6810,-2.0770,1.8110,2.84
0.747545,0.5430,-1.9900,1.1710,2.37
0.763103,0.5270,-1.8780,0.4380,2.00
0.768584,0.6060,-1.7270,-0.1570,1.84
0.781950,0.6980,-1.5330,-0.7730,1.85
0.799325,0.7150,-1.2940,-1.2970,1.97
0.799885,0.6630,-1.0390,-1.5850,2.01
0.815048,0.6920,-0.9220,-1.7400,2.09
0.815660,0.8480,-0.8830,-1.7770,2.16
0.833449,1.0520,-0.8900,-1.7020,2.19
0.849430,1.2160,-0.8690,-1.6560,2.23
0.850148,1.3710,-0.9280,-1.6050,2.31
0.866479,1.4620,-0.9870,-1.4910,2.31
0.867120,1.4240,-1.0340,-1.4240,2.26
0.882350,1.4240,-1.0340,-1.4240,2.26
0.896606,0.9530,-0.9770,-1.3530,1.92
0.898578,0.6490,-0.8980,-1.4370,1.81
0.915205,0.3960,-0.7200,-1.6160,1.81
0.915724,0.2050,-0.5380,-1.7820,1.87
0.932755,0.0480,-0.3070,-2.1330,2.16
0.951144,-0.0220,-0.0870,-2.4710,2.47
0.951894,-0.0380,0.1590,-2.7740,2.78
0.967465,-0.0780,0.3700,-2.9670,2.99
0.968211,-0.1100,0.5960,-3.0770,3.14
0.982856,-0.0870,0.7830,-3.0440,3.14
0.998656,-0.0580,0.9770,-2.9440,3.10
0.999299,-0.0360,1.1360,-2.8040,3.03
1.015741,0.0590,1.1910,-2.5900,2.85
1.016459,0.1230,1.2360,-2.4250,2.72
1.034405,0.2170,1.2990,-2.1760,2.54
1.049339,0.2380,1.2430,-1.9470,2.32
1.050203,0.2370,1.1970,-1.7530,2.14
1.066422,0.1630,1.1000,-1.4760,1.85
1.067070,0.0490,1.0030,-1.2950,1.64
1.081387,0.0130,0.9020,-1.1640,1.47
1.098938,-0.0920,0.8640,-0.9480,1.29
1.099554,-0.1720,0.8170,-0.7070,1.09
1.112637,-0.2510,0.7680,-0.5200,0.96
1.118498,-0.2570,0.8160,-0.3660,0.93
1.129206,-0.2090,0.7790,-0.1170,0.81
1.142230,-0.1380,0.7180,0.0210,0.73
1.147963,-0.1330,0.6890,0.2000,0.73
1.159819,-0.1840,0.6560,0.3500,0.77
1.168119,-0.2970,0.6050,0.5620,0.88
1.183761,-0.4240,0.5540,0.7550,1.03
1.194285,-0.6170,0.5600,0.9580,1.27
1.197324,-0.7700,0.5150,1.0960,1.44
1.208091,-0.8190,0.4400,1.2240,1.54
1.216807,-0.8890,0.4200,1.3730,1.69
1.225061,-0.9140,0.4160,1.4560,1.77
1.244020,-0.8330,0.4000,1.5280,1.79
1.247283,-0.7280,0.3350,1.5040,1.70
1.259428,-0.6200,0.3280,1.4690,1.63
1.267569,-0.5870,0.2960,1.4220,1.57
1.278565,-0.7210,0.2880,1.2980,1.51
1.295460,-1.0080,0.4490,1.1760,1.61
1.296029,-1.3000,0.6090,1.1270,1.83
1.314290,-1.5500,0.6530,0.9080,1.91
1.317581,-1.5870,0.5070,1.0670,1.98
1.328926,-1.4870,0.3280,1.1930,1.93
1.346292,-1.2940,0.1090,1.4470,1.94
1.346817,-1.1410,0.0130,1.8680,2.19
1.361292,-0.9040,-0.1390,2.1900,2.37
1.367592,-0.5150,-0.5300,2.3570,2.47
1.380834,-0.1390,-1.1220,2.5520,2.79
1.396782,0.0370,-1.6590,2.7090,3.18
1.397350,-0.0750,-2.0500,2.6850,3.38
1.413818,-0.3580,-2.3170,2.4500,3.39
1.416826,-0.8560,-2.4420,2.0860,3.32
1.428692,-1.4710,-2.2500,1.3820,3.02
1.446348,-1.8690,-2.1640,0.6400,2.93
1.446924,-1.9790,-2.1220,-0.0040,2.90
1.464815,-2.0680,-1.8390,-0.6600,2.85
1.465391,-2.0680,-1.8390,-0.6600,2.85
1.480084,-2.1930,-1.2850,-1.8290,3.13
1.497148,-2.1480,-1.1960,-2.2350,3.32
1.497802,-2.0460,-1.1140,-2.4910,3.41
1.512434,-1.9850,-1.0950,-2.5650,3.42
1.516643,-1.8340,-1.0880,-2.4850,3.27
1.529666,-1.8340,-1.0880,-2.4850,3.27
1.545810,-1.1590,-1.2380,-2.0400,2.65
1.546405,-1.1590,-1.2380,-2.0400,2.65
1.564283,-0.7410,-1.2150,-1.6600,2.19
1.566110,-0.4800,-1.1610,-1.5320,1.98
