# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:11:42.306
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006757,-0.9230,-0.0680,1.0840,1.43
0.007010,-0.6070,-0.6360,1.9810,2.17
0.021013,-0.1560,-0.9110,2.3940,2.57
0.041318,0.3460,-1.1180,2.6910,2.93
0.041702,0.5700,-1.2750,2.7280,3.06
0.058059,0.4480,-1.4420,2.5900,3.00
0.058458,0.1390,-1.5860,1.9440,2.51
0.073212,-0.4560,-1.5330,0.9870,1.88
0.090053,-0.9660,-1.4010,0.1510,1.71
0.090401,-1.5340,-0.9280,-0.6890,1.92
0.106376,-1.9400,-0.3860,-1.3520,2.40
0.106856,-2.1360,-0.0470,-1.9270,2.88
0.122347,-2.0350,0.1670,-2.3880,3.14
0.139436,-1.7200,0.2580,-2.7070,3.22
0.139798,-1.2580,0.0830,-2.7250,3.00
0.155583,-0.6780,-0.1520,-2.4130,2.51
0.155926,-0.2770,-0.3490,-1.7620,1.82
0.172645,0.1710,-0.7100,-1.0670,1.29
0.189442,0.5020,-0.9280,-0.4920,1.16
0.189737,0.5600,-1.0590,-0.0910,1.20
0.204923,0.5190,-1.1450,-0.0110,1.26
0.205254,0.4290,-1.2320,-0.0300,1.30
0.220397,0.4290,-1.2320,-0.0300,1.30
0.236676,0.2160,-1.0410,-0.7160,1.28
0.237084,0.2360,-0.8630,-1.3320,1.60
0.255768,0.2690,-0.5760,-1.8810,1.99
0.256235,0.3030,-0.3750,-2.3210,2.37
0.272055,0.3240,-0.1400,-2.7670,2.79
0.286782,0.3800,0.0060,-3.0920,3.12
0.287030,0.4300,0.1170,-3.2790,3.31
0.299341,0.4950,0.1600,-3.3050,3.35
0.308154,0.5210,0.2460,-3.2570,3.31
0.315630,0.4540,0.3110,-3.1640,3.21
0.332029,0.4470,0.3610,-2.9330,2.99
0.335547,0.4290,0.4150,-2.7930,2.86
