# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:16:20.395
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.014566,-0.1940,-0.1310,-0.2660,0.35
0.014770,-0.1150,-0.0630,-0.2620,0.29
0.025671,0.0670,-0.0750,-0.1600,0.19
0.034965,0.2880,-0.0050,-0.0530,0.29
0.039908,0.5470,0.0410,0.1740,0.58
0.049828,0.7740,0.0100,0.4920,0.92
0.058729,0.8640,0.0030,0.7500,1.14
0.070037,0.8930,-0.0470,0.8650,1.24
0.082325,0.8260,-0.0730,0.7830,1.14
0.087231,0.6860,-0.0370,0.5670,0.89
0.099463,0.4990,0.1100,0.2570,0.57
0.107514,0.3630,0.1810,-0.0930,0.42
0.117136,0.3290,0.2570,-0.2860,0.51
0.131949,0.3070,0.3370,-0.3870,0.60
0.137043,0.3190,0.3120,-0.3420,0.56
0.148979,0.3300,0.3650,-0.2430,0.55
0.157053,0.3490,0.3120,-0.1870,0.50
0.167096,0.3370,0.2810,-0.1950,0.48
0.181834,0.3520,0.2870,-0.1910,0.49
0.186173,0.3610,0.2760,-0.1760,0.49
0.197930,0.3540,0.2260,-0.1140,0.44
0.214676,0.2950,0.1650,-0.0750,0.35
0.216937,0.1220,0.1580,-0.1720,0.26
0.231621,0.0670,0.0850,-0.2040,0.23
0.236844,-0.0530,0.0970,-0.1280,0.17
0.248077,-0.1370,0.1710,-0.1460,0.26
0.256867,-0.1250,0.1890,-0.2140,0.31
0.267219,-0.0820,0.2290,-0.2790,0.37
0.280893,-0.0710,0.3380,-0.3410,0.49
0.286746,-0.0060,0.3990,-0.3480,0.53
0.297597,0.0920,0.4200,-0.3010,0.52
0.306918,0.1470,0.4080,-0.2980,0.53
0.319139,0.1980,0.3490,-0.2620,0.48
0.331270,0.2780,0.2340,-0.2410,0.44
0.337318,0.3090,0.1470,-0.1150,0.36
0.348023,0.2800,0.0870,0.0040,0.29
0.357039,0.1880,0.0270,0.0330,0.19
0.369920,0.1100,-0.0490,-0.0240,0.12
0.381460,0.0140,-0.0570,-0.2090,0.22
0.386663,-0.1650,-0.0370,-0.2940,0.34
0.398905,-0.3320,-0.0360,-0.3430,0.48
0.407324,-0.4550,-0.0430,-0.4010,0.61
0.417205,-0.5740,-0.0180,-0.4430,0.73
0.431830,-0.7020,0.0270,-0.4340,0.83
0.436527,-0.7710,0.0960,-0.4370,0.89
0.448977,-0.7640,0.0940,-0.3940,0.86
0.456431,-0.7260,0.1080,-0.2950,0.79
0.466714,-0.7070,0.0780,-0.2160,0.74
0.481931,-0.6980,0.1470,-0.0430,0.71
0.486475,-0.6850,0.1170,0.0170,0.70
0.498488,-0.6280,0.1110,-0.0430,0.64
0.506300,-0.5760,0.1280,-0.1080,0.60
0.519352,-0.5070,0.1150,-0.4270,0.67
0.532158,-0.4580,0.1220,-0.7770,0.91
0.536901,-0.3830,0.1430,-1.0260,1.10
0.549608,-0.2800,0.0960,-1.1520,1.19
0.556801,-0.2340,0.0320,-1.1550,1.18
0.571396,-0.0630,-0.1710,-1.0740,1.09
0.581442,-0.0630,-0.1710,-1.0740,1.09
0.586098,-0.0220,-0.2730,-1.0860,1.12
0.605218,0.0420,-0.3680,-1.1370,1.20
0.606124,0.0160,-0.4250,-1.2060,1.28
0.620987,-0.0420,-0.4250,-1.3180,1.39
0.631404,-0.0160,-0.4440,-1.4820,1.55
0.646487,0.0450,-0.3790,-1.7480,1.79
0.646736,0.0450,-0.3790,-1.7480,1.79
0.664319,-0.0180,-0.1560,-1.6720,1.68
0.667273,-0.0180,-0.1560,-1.6720,1.68
0.680657,-0.0560,-0.0280,-1.4810,1.48
0.696272,-0.0170,0.1750,-0.5790,0.61
0.696852,-0.0170,0.1750,-0.5790,0.61
0.713050,-0.0680,0.6350,0.4710,0.79
0.721420,-0.0980,0.8190,0.9230,1.24
0.729662,-0.0980,0.8190,0.9230,1.24
0.745647,-0.1940,1.0270,1.6410,1.95
0.751400,0.0180,0.9960,1.8900,2.14
0.756322,0.0180,0.9960,1.8900,2.14
0.771546,0.6280,0.7810,1.8830,2.13
0.778848,0.6280,0.7810,1.8830,2.13
0.795129,0.8480,0.8870,1.6760,2.08
0.799741,0.8480,0.8870,1.6760,2.08
0.806017,0.8540,0.7970,1.5270,1.92
0.821356,0.7040,0.3770,1.2940,1.52
0.829192,0.7040,0.3770,1.2940,1.52
0.845578,-0.3440,0.4280,1.1850,1.31
0.848400,-0.3440,0.4280,1.1850,1.31
0.862798,-1.3880,0.5940,1.3290,2.01
0.871472,-1.7820,0.6370,1.4210,2.37
0.883826,-1.7820,0.6370,1.4210,2.37
0.895032,-1.6290,0.3560,2.2440,2.80
0.897169,-1.6290,0.3560,2.2440,2.80
0.913164,-1.0220,0.0150,2.7470,2.93
