# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:15:01.781
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006870,-0.2410,-0.2400,0.0830,0.35
0.032673,0.0080,-0.0740,0.1760,0.19
0.033352,0.0080,-0.0740,0.1760,0.19
0.052265,0.5260,-0.2810,1.1880,1.33
0.052725,0.5580,-0.2950,1.7440,1.85
0.067749,0.4670,-0.3380,1.9670,2.05
0.068281,0.4670,-0.3380,1.9670,2.05
0.080789,0.1860,-0.3210,2.0810,2.11
0.093881,0.0870,-0.3450,2.0650,2.10
0.105945,0.1910,-0.2880,2.0710,2.10
0.106296,0.4640,-0.4070,2.3910,2.47
0.119045,0.4640,-0.4070,2.3910,2.47
0.136252,1.1160,-0.7420,3.1330,3.41
0.136656,1.1160,-0.7420,3.1330,3.41
0.154080,1.3530,-0.8630,3.3880,3.75
0.168031,1.5030,-1.2340,3.9870,4.44
0.168467,1.5920,-1.2800,3.9950,4.49
0.186056,1.5980,-1.3030,3.8460,4.36
0.186495,1.6250,-1.3260,3.6200,4.18
0.203329,1.7000,-1.4060,3.3420,4.00
0.220065,1.6510,-1.4690,2.6700,3.47
0.220493,1.6510,-1.4690,2.6700,3.47
0.237007,1.5730,-1.5720,2.3720,3.25
0.237462,1.6250,-1.6750,2.0970,3.14
0.253344,1.7600,-1.8260,1.7010,3.05
0.271230,1.9970,-1.7950,0.9250,2.84
0.271915,1.9970,-1.7950,0.9250,2.84
0.286556,1.9850,-1.6330,0.4520,2.61
0.287043,1.7540,-1.4580,-0.1270,2.28
0.303612,1.5420,-1.2920,-0.7040,2.13
0.318614,1.1580,-1.0640,-1.8970,2.46
0.319027,1.1580,-1.0640,-1.8970,2.46
0.335982,1.0110,-0.9560,-2.5560,2.91
0.336442,0.8970,-0.7190,-3.1190,3.32
0.351843,0.8360,-0.5410,-3.6420,3.78
0.370507,0.9210,-0.4180,-4.3310,4.45
0.371027,0.9210,-0.4180,-4.3310,4.45
0.386052,0.9180,-0.4080,-4.4080,4.52
0.386557,0.8350,-0.3950,-4.4380,4.53
0.403585,0.7280,-0.4100,-4.4030,4.48
0.418023,0.4480,-0.4190,-4.4150,4.46
0.418428,0.4480,-0.4190,-4.4150,4.46
0.431774,0.3320,-0.3480,-4.4610,4.49
0.446482,0.2640,-0.1890,-4.9680,4.98
0.446783,0.2640,-0.1890,-4.9680,4.98
0.463625,0.2650,-0.0210,-5.4960,5.50
0.473284,0.2180,0.0780,-5.6910,5.70
0.491439,0.2180,0.0780,-5.6910,5.70
0.491906,0.1980,0.2250,-5.6900,5.70
0.501967,0.2910,0.3740,-5.5400,5.56
0.515716,0.5120,0.4670,-4.8510,4.90
0.522473,0.6390,0.2800,-4.6250,4.68
0.528967,0.6390,0.2800,-4.6250,4.68
0.546083,0.0970,0.5610,-4.3740,4.41
0.546266,-0.3550,0.5980,-3.8460,3.91
0.564103,-0.6020,0.4200,-2.8500,2.94
