accx,accy,accz
-0.508,0.233,0.141
-0.475,0.298,-0.147
-0.525,0.256,-0.076
-0.618,0.284,0.078
-0.618,0.284,0.078
-0.667,0.134,0.028
-0.732,0.092,-0.01
-0.839,0.153,-0.109
-0.839,0.153,-0.109
-0.862,0.092,-0.149
-0.902,0.073,-0.138
-0.866,0.018,-0.085
-0.886,-0.044,0.022
-0.876,-0.07,0.235
-0.782,-0.169,0.375
-0.639,-0.244,0.383
-0.565,-0.252,0.463
-0.526,-0.322,0.497
-0.529,-0.368,0.435
-0.534,-0.446,0.4
-0.52,-0.453,0.307
-0.557,-0.408,0.304
-0.52,-0.406,0.179
-0.434,-0.372,-0.042
-0.353,-0.342,-0.072
-0.306,-0.28,0.033
-0.306,-0.28,0.033
-0.302,-0.175,0.019
-0.043,-0.281,-0.141
-0.009,-0.198,-0.147
0.107,-0.125,-0.178
0.209,-0.113,-0.115
0.209,-0.113,-0.115
0.362,-0.056,-0.251
0.428,-0.063,-0.323
0.371,-0.044,-0.197
0.332,-0.051,-0.139
0.346,-0.064,-0.149
0.342,0.042,-0.194
0.353,0.069,-0.208
0.419,0.089,-0.231
0.419,0.089,-0.231
0.562,0.144,-0.211
0.639,0.095,-0.197
0.577,0.054,-0.117
0.533,-0.041,-0.033
0.35,-0.05,0.012
0.255,-0.186,0.193
0.265,-0.371,0.459
0.265,-0.505,0.648
0.294,-0.534,0.87
0.802,-0.896,0.945
0.802,-0.896,0.945
0.226,0.09,0.897
0.226,0.09,0.897
0.149,0.33,0.882
0.149,0.33,0.882
0.102,0.428,0.669
0.039,0.554,0.453
0.039,0.554,0.453
0.096,0.427,0.551
0.242,0.351,0.619
0.293,0.361,0.752
0.389,0.291,0.967
0.597,0.053,1.046
0.862,-0.38,1.283
1.198,-0.894,1.55
1.255,-1.307,1.821
1.148,-1.63,2.123
0.994,-1.857,2.258
0.994,-1.857,2.258
0.681,-2.077,1.811
0.543,-1.99,1.171
0.527,-1.878,0.438
0.606,-1.727,-0.157
0.698,-1.533,-0.773
0.715,-1.294,-1.297
0.663,-1.039,-1.585
0.692,-0.922,-1.74
0.848,-0.883,-1.777
1.052,-0.89,-1.702
1.216,-0.869,-1.656
1.371,-0.928,-1.605
1.462,-0.987,-1.491
1.424,-1.034,-1.424
1.424,-1.034,-1.424
0.953,-0.977,-1.353
0.649,-0.898,-1.437
0.396,-0.72,-1.616
0.205,-0.538,-1.782
0.048,-0.307,-2.133
-0.022,-0.087,-2.471
-0.038,0.159,-2.774
-0.078,0.37,-2.967
-0.11,0.596,-3.077
-0.087,0.783,-3.044
-0.058,0.977,-2.944
-0.036,1.136,-2.804
0.059,1.191,-2.59
0.123,1.236,-2.425
0.217,1.299,-2.176
0.238,1.243,-1.947
0.237,1.197,-1.753
0.163,1.1,-1.476
0.049,1.003,-1.295
0.013,0.902,-1.164
-0.092,0.864,-0.948
-0.172,0.817,-0.707
-0.251,0.768,-0.52
-0.257,0.816,-0.366
-0.209,0.779,-0.117
-0.138,0.718,0.021
-0.133,0.689,0.2
-0.184,0.656,0.35
-0.297,0.605,0.562
-0.424,0.554,0.755
-0.617,0.56,0.958
-0.77,0.515,1.096
-0.819,0.44,1.224
-0.889,0.42,1.373
-0.914,0.416,1.456
-0.833,0.4,1.528
-0.728,0.335,1.504
-0.62,0.328,1.469
-0.587,0.296,1.422
-0.721,0.288,1.298
-1.008,0.449,1.176
-1.3,0.609,1.127
-1.55,0.653,0.908
-1.587,0.507,1.067
-1.487,0.328,1.193
-1.294,0.109,1.447
-1.141,0.013,1.868
-0.904,-0.139,2.19
-0.515,-0.53,2.357
-0.139,-1.122,2.552
0.037,-1.659,2.709
-0.075,-2.05,2.685
-0.358,-2.317,2.45
-0.856,-2.442,2.086
-1.471,-2.25,1.382
-1.869,-2.164,0.64
-1.979,-2.122,-0.004
-2.068,-1.839,-0.66
-2.068,-1.839,-0.66
-2.193,-1.285,-1.829
-2.148,-1.196,-2.235
-2.046,-1.114,-2.491
-1.985,-1.095,-2.565
-1.834,-1.088,-2.485
-1.834,-1.088,-2.485
-1.159,-1.238,-2.04
-1.159,-1.238,-2.04
-0.741,-1.215,-1.66
-0.48,-1.161,-1.532
-0.199,-1.078,-1.502
-0.016,-0.994,-1.456
0.016,-0.918,-1.422
0.015,-0.843,-1.464
0.082,-0.674,-1.583
0.136,-0.512,-1.751
0.192,-0.333,-2.019
0.236,-0.156,-2.165
0.306,-0.017,-2.399
0.301,0.168,-2.582
0.316,0.324,-2.736
0.303,0.483,-2.733
0.326,0.613,-2.69
0.406,0.726,-2.553
0.481,0.782,-2.492
0.552,0.877,-2.31
0.591,0.948,-2.086
0.587,1.028,-1.881
0.62,1.04,-1.717
0.639,1.024,-1.472
0.622,0.955,-1.25
0.645,0.898,-1.051
0.765,0.802,-0.792
0.784,0.747,-0.624
0.782,0.716,-0.421
0.782,0.716,-0.421
0.587,0.758,-0.213
0.438,0.746,-0.084
0.282,0.759,0.066
0.267,0.744,0.113
0.267,0.749,0.201
0.35,0.696,0.346
0.35,0.696,0.346
0.497,0.568,0.547
0.817,0.128,1.23
0.898,-0.058,1.599
0.73,-0.015,1.886
0.73,-0.015,1.886
0.468,0.132,2.186
0.296,0.049,2.881
0.566,-0.257,3.163
0.824,-0.418,3.352
1.056,-0.456,3.571
1.477,-0.663,3.782
1.952,-1.144,3.959
2.148,-1.463,4.168
2.002,-1.651,4.241
1.617,-1.819,4.19
1.317,-2.015,3.877
0.901,-2.089,3.238
0.58,-2.003,2.337
0.384,-1.797,1.382
0.333,-1.651,0.486
0.26,-1.337,-0.503
0.19,-1.096,-1.349
0.196,-0.893,-2.018
0.208,-0.751,-2.489
0.299,-0.667,-2.812
0.43,-0.594,-3.002
0.562,-0.529,-3.014
0.697,-0.516,-2.897
0.722,-0.562,-2.76
0.675,-0.614,-2.639
0.47,-0.668,-2.566
0.188,-0.644,-2.567
-0.176,-0.659,-2.629
-0.467,-0.65,-2.725
-0.711,-0.535,-2.903
-0.882,-0.401,-3.128
-0.977,-0.245,-3.286
-1.05,-0.059,-3.451
-1.091,0.117,-3.592
-1.13,0.238,-3.681
-1.204,0.418,-3.613
-1.316,0.526,-3.45
-1.399,0.591,-3.263
-1.447,0.642,-3.11
-1.482,0.692,-2.923
-1.408,0.666,-2.694
-1.396,0.693,-2.48
-1.316,0.69,-2.297
-1.155,0.685,-2.064
-0.983,0.631,-1.769
-0.835,0.577,-1.459
-0.724,0.454,-1.113
-0.614,0.366,-0.648
-0.559,0.279,-0.175
-0.549,0.248,0.336
-0.578,0.181,0.686
-0.639,0.117,1.109
-0.658,0.113,1.396
-0.686,0.177,1.538
-0.774,0.336,1.628
-0.732,0.445,1.604
-0.698,0.515,1.586
-0.661,0.589,1.48
-0.53,0.607,1.373
-0.427,0.612,1.263
-0.224,0.611,1.145
-0.091,0.618,1.011
-0.191,0.708,0.92
-0.522,0.949,1.017
-0.901,1.008,1.119
-0.967,0.794,1.275
-0.822,0.374,1.495
-0.63,0.018,1.797
-0.495,-0.263,2.237
-0.294,-0.56,2.666
-0.052,-0.983,2.715
0.029,-1.501,2.998
-0.015,-1.875,2.965
-0.583,-1.845,2.644
-1.371,-1.669,2.148
-1.801,-1.724,1.71
-1.95,-1.783,1.287
-2.132,-1.465,0.649
-2.279,-1.156,0.198
-1.857,-1.067,-0.134
-1.857,-1.067,-0.134
-1.264,-1.063,-0.329
-0.763,-1.24,-0.079
