accx,accy,accz
-0.041,0.11,0.266
-0.11,0.18,0.266
-0.091,0.139,0.216
-0.091,0.139,0.216
-0.165,0.085,0.257
-0.354,0.185,0.001
-0.273,0.126,-0.17
-0.155,0.071,-0.206
0.094,-0.058,-0.164
0.266,-0.032,-0.202
0.479,-0.035,-0.036
0.61,-0.025,0.127
0.605,-0.008,0.208
0.515,0.039,0.252
0.411,0.109,0.192
0.262,0.119,0.077
0.089,0.107,0.048
-0.035,0.129,-0.032
-0.053,0.153,-0.014
0.065,0.14,0.052
0.205,0.078,0.013
0.283,0.052,0.115
0.291,0.048,0.237
0.245,0.057,0.213
0.21,0.047,0.135
0.099,0.036,-0.009
0.029,0.028,-0.054
0,0.036,-0.086
0.024,-0.015,-0.107
0.01,-0.051,-0.019
-0.059,-0.011,-0.06
-0.064,-0.034,-0.047
-0.073,0.001,0.024
-0.031,0.029,0.04
-0.025,-0.037,0.079
-0.031,0.004,0.097
-0.031,0.004,0.097
-0.107,-0.009,0.083
-0.142,-0.004,0.001
-0.17,0.002,-0.071
-0.17,0.002,-0.071
-0.136,0.016,-0.248
-0.083,0.007,-0.208
-0.03,0.004,-0.231
-0.016,0.01,-0.225
-0.011,0.027,-0.115
-0.006,-0.008,-0.024
0.018,0.007,-0.029
0.006,-0.006,0.026
-0.05,0.063,0.015
-0.05,0.063,0.015
-0.06,0.031,0.02
-0.076,0.039,0.056
-0.101,0.063,-0.062
-0.066,0.051,-0.08
-0.114,0.082,-0.116
-0.13,0.055,0.027
-0.078,0.053,0.16
-0.078,0.053,0.16
0.071,0.058,-0.034
-0.084,0.086,-0.175
-0.131,0.106,-0.21
-0.155,0.102,-0.347
-0.026,0.074,-0.195
0.054,0.024,-0.088
0.161,-0.01,0.005
0.162,0.021,-0.044
0.112,0.015,-0.032
0.037,0.072,0.047
0.015,0.076,0.01
0.015,0.076,0.01
-0.01,0.042,-0.125
-0.073,0.082,-0.139
-0.088,0.089,-0.183
-0.053,0.035,-0.13
-0.037,0.013,-0.039
-0.009,-0.002,-0.039
0.001,-0.031,0.052
0.057,-0.044,0.174
0.093,-0.063,0.223
0.165,-0.051,0.183
0.124,-0.067,0.172
-0.027,-0.047,0.164
-0.171,0.038,0.078
-0.213,0,0.014
-0.148,0.034,-0.092
-0.148,0.034,-0.092
-0.129,0.008,-0.126
-0.042,0.039,-0.081
-0.048,0.045,0.042
0.026,0.049,0.086
0.026,0.018,0.023
0.026,0.018,0.023
