accx,accy,accz
-0.03,-0.041,0.237
0.019,-0.034,0.246
0.019,-0.034,0.246
-0.027,-0.02,0.321
-0.101,-0.063,0.398
-0.101,-0.063,0.398
-0.182,-0.04,0.3
-0.11,-0.028,0.285
-0.014,-0.052,0.182
0.038,-0.024,0.134
0.036,0.062,0.07
-0.03,0.031,0.043
-0.04,-0.043,0.125
-0.04,-0.043,0.125
-0.066,-0.041,0.12
-0.066,-0.041,0.12
-0.011,-0.04,0.203
-0.011,-0.04,0.203
0.039,-0.059,0.249
-0.022,-0.092,0.299
-0.041,-0.053,0.227
-0.088,-0.013,0.158
-0.086,-0.027,0.071
-0.038,-0.013,-0.002
-0.036,-0.015,0.009
-0.024,-0.005,0.045
-0.024,-0.005,0.045
-0.05,-0.027,0.183
-0.067,-0.091,0.437
-0.029,-0.093,0.485
-0.043,-0.117,0.48
-0.031,-0.081,0.437
0.002,-0.098,0.317
-0.009,-0.07,0.281
0,-0.056,0.219
0.021,-0.022,0.252
0.023,-0.008,0.245
0,0.044,0.137
-0.021,0.035,0.018
-0.021,0.064,-0.038
-0.062,0.09,-0.074
-0.059,0.104,-0.057
-0.059,0.104,-0.057
-0.05,0.039,0.086
-0.069,0,0.16
-0.093,-0.027,0.246
-0.082,-0.015,0.314
-0.082,-0.015,0.314
-0.087,-0.03,0.251
-0.066,-0.052,0.266
-0.105,-0.062,0.254
-0.126,-0.021,0.223
-0.169,-0.002,0.28
-0.183,-0.055,0.283
-0.214,-0.022,0.235
-0.214,-0.022,0.235
-0.128,-0.058,0.24
-0.128,-0.035,0.168
-0.128,-0.035,0.168
-0.183,-0.028,0.181
-0.183,-0.028,0.181
-0.083,-0.023,0.305
-0.038,0.002,0.33
0.001,-0.009,0.33
0.07,0.007,0.306
0.07,0.007,0.306
0.01,0.039,0.251
0.01,0.039,0.251
-0.006,0.034,0.191
-0.044,0.006,0.088
-0.071,0.056,0.2
-0.047,0.061,0.2
-0.023,0.018,0.19
-0.003,-0.06,0.362
-0.029,-0.053,0.271
-0.118,-0.05,0.14
-0.222,-0.057,0.135
-0.256,-0.026,0
-0.225,-0.046,0
-0.184,-0.038,0.014
-0.11,-0.048,0.12
-0.103,-0.029,0.162
-0.076,-0.043,0.162
-0.105,-0.089,0.318
-0.177,-0.07,0.239
-0.237,-0.058,0.296
-0.196,-0.077,0.368
-0.167,-0.029,0.284
-0.084,-0.043,0.306
-0.055,-0.017,0.234
0.002,0.009,0.189
0.007,-0.047,0.217
-0.018,-0.03,0.237
-0.08,0.008,0.155
-0.075,0.005,0.196
-0.108,0.013,0.126
-0.113,0.022,0.141
-0.156,0.021,0.117
-0.156,0.021,0.117
-0.094,0,0.16
-0.056,-0.029,0.155
-0.049,0,0.186
-0.08,0.02,0.203
-0.08,0.02,0.203
-0.136,-0.022,0.325
-0.124,-0.063,0.33
-0.091,-0.013,0.275
-0.098,0.012,0.198
-0.098,0.012,0.198
-0.127,-0.006,0.163
-0.127,-0.006,0.163
-0.213,-0.034,0.271
-0.203,-0.051,0.266
-0.203,-0.051,0.266
-0.191,-0.079,0.355
-0.191,-0.079,0.355
-0.167,-0.034,0.295
-0.189,0.001,0.142
-0.189,0.001,0.142
-0.259,-0.006,0.124
-0.259,-0.006,0.124
-0.159,-0.035,0.294
-0.133,0.018,0.263
-0.133,0.018,0.263
-0.169,-0.029,0.145
-0.169,-0.029,0.145
-0.274,-0.061,0.188
-0.293,-0.022,0.164
-0.293,-0.022,0.164
-0.176,-0.056,0.203
-0.176,-0.056,0.203
-0.171,-0.068,0.296
-0.223,-0.058,0.335
-0.223,-0.058,0.335
-0.266,-0.039,0.179
-0.266,-0.039,0.179
-0.235,-0.048,0.175
-0.177,-0.017,0.234
