accx,accy,accz
-0.215,-0.131,-1.345
-0.278,0.436,-0.244
-0.318,1.173,0.758
-0.318,1.173,0.758
0.08,1.55,3.167
0.52,1.458,4.447
0.865,1.542,5.07
1.051,1.537,5.734
0.984,1.643,6.145
0.88,1.743,6.323
1.132,1.768,6.413
1.751,1.479,6.52
1.751,1.479,6.52
3.18,0.624,6.533
3.42,0.291,6.611
3.151,0.133,6.65
2.528,0.102,6.664
1.717,0.235,6.346
1.031,0.44,5.864
0.805,0.535,5.092
0.778,0.661,4.016
0.82,0.822,2.979
0.896,0.993,1.96
1.182,0.943,0.782
1.366,0.783,-0.445
1.444,0.587,-1.475
1.354,0.409,-2.353
1.354,0.409,-2.353
0.582,0.119,-3.841
0.108,-0.207,-4.447
0.108,-0.207,-4.447
-0.556,-0.6,-5.308
-1.305,-0.929,-6.428
-1.305,-0.929,-6.428
-1.576,-1.104,-7.328
-1.576,-1.104,-7.328
-1.614,-1.271,-7.778
-1.614,-1.271,-7.778
-1.642,-1.259,-7.882
-1.684,-1.43,-7.769
-1.684,-1.43,-7.769
-1.77,-1.74,-7.505
-1.812,-1.832,-7.122
-1.812,-1.832,-7.122
-1.701,-1.894,-6.146
-1.701,-1.894,-6.146
-1.42,-1.767,-4.889
-1.241,-1.733,-4.33
-1.241,-1.733,-4.33
-0.713,-1.613,-3.137
-0.713,-1.613,-3.137
-0.434,-1.517,-2.575
-0.1,-1.225,-1.584
-0.082,-0.926,-1.167
-0.121,-0.501,-0.722
-0.121,-0.501,-0.722
-0.215,-0.093,-0.238
-0.53,0.81,0.908
-0.517,1.158,1.773
-0.427,1.482,2.676
-0.427,1.482,2.676
0.338,1.941,4.477
0.935,1.923,5.161
1.498,1.788,5.832
1.965,1.665,6.138
1.965,1.665,6.138
1.621,1.46,6.003
0.665,1.541,5.76
-0.241,1.496,5.438
-0.77,1.349,5.14
-1.075,1.294,4.919
-1.118,1.201,4.651
-0.829,1.018,4.367
-0.558,0.788,3.892
-0.377,0.406,3.526
-0.334,0.12,3.042
-0.374,-0.221,2.473
-0.52,-0.517,1.765
