accx,accy,accz
-0.241,-0.24,0.083
0.008,-0.074,0.176
0.008,-0.074,0.176
0.526,-0.281,1.188
0.558,-0.295,1.744
0.467,-0.338,1.967
0.467,-0.338,1.967
0.186,-0.321,2.081
0.087,-0.345,2.065
0.191,-0.288,2.071
0.464,-0.407,2.391
0.464,-0.407,2.391
1.116,-0.742,3.133
1.116,-0.742,3.133
1.353,-0.863,3.388
1.503,-1.234,3.987
1.592,-1.28,3.995
1.598,-1.303,3.846
1.625,-1.326,3.62
1.7,-1.406,3.342
1.651,-1.469,2.67
1.651,-1.469,2.67
1.573,-1.572,2.372
1.625,-1.675,2.097
1.76,-1.826,1.701
1.997,-1.795,0.925
1.997,-1.795,0.925
1.985,-1.633,0.452
1.754,-1.458,-0.127
1.542,-1.292,-0.704
1.158,-1.064,-1.897
1.158,-1.064,-1.897
1.011,-0.956,-2.556
0.897,-0.719,-3.119
0.836,-0.541,-3.642
0.921,-0.418,-4.331
0.921,-0.418,-4.331
0.918,-0.408,-4.408
0.835,-0.395,-4.438
0.728,-0.41,-4.403
0.448,-0.419,-4.415
0.448,-0.419,-4.415
0.332,-0.348,-4.461
0.264,-0.189,-4.968
0.264,-0.189,-4.968
0.265,-0.021,-5.496
0.218,0.078,-5.691
0.218,0.078,-5.691
0.198,0.225,-5.69
0.291,0.374,-5.54
0.512,0.467,-4.851
0.639,0.28,-4.625
0.639,0.28,-4.625
0.097,0.561,-4.374
-0.355,0.598,-3.846
-0.602,0.42,-2.85
-0.854,0.363,-2.123
-1.096,0.344,-1.726
-1.168,0.409,-1.274
-1.13,0.525,-0.768
-0.982,0.602,-0.224
-0.827,0.643,0.314
-0.725,0.705,1.047
-0.725,0.705,1.047
-0.549,0.57,1.377
-0.507,0.268,2.088
-0.835,0.27,2.587
-1.054,0.135,3.065
-1.054,0.135,3.065
-1.178,-0.146,3.681
-1.279,-0.357,4.28
-1.477,-0.3,4.834
-1.807,-0.116,5.319
-2.129,0.057,5.247
-2.494,0.319,4.956
-3.014,0.673,3.839
-3.176,0.937,3.211
-3.289,1.076,2.732
-3.092,0.868,2.28
-2.706,0.473,2.004
-2.103,0.057,1.934
-1.814,-0.263,2.074
-1.564,-0.669,2.253
-1.567,-1.053,2.323
-1.857,-1.141,2.245
-2.383,-0.974,1.384
-2.873,-0.726,0.596
-2.906,-0.624,-0.319
-2.935,-0.269,-1.202
-2.837,-0.172,-1.991
-2.563,-0.051,-2.592
-2.317,0.014,-3.024
-1.902,-0.004,-3.351
-1.458,-0.224,-3.606
-1.133,-0.375,-3.615
-0.979,-0.514,-3.686
-0.923,-0.617,-3.784
-0.875,-0.684,-3.959
-0.88,-0.704,-4.275
-0.834,-0.697,-4.632
-0.734,-0.647,-5.109
-0.512,-0.578,-5.517
-0.261,-0.522,-5.879
0.009,-0.446,-6.257
0.201,-0.398,-6.506
0.366,-0.414,-6.649
0.429,-0.512,-6.542
0.289,-0.547,-6.406
0.073,-0.652,-6.081
-0.154,-0.687,-5.661
-0.381,-0.673,-5.275
-0.582,-0.552,-4.995
-0.693,-0.426,-4.635
-0.658,-0.365,-4.21
-0.577,-0.22,-3.812
-0.44,-0.038,-3.51
-0.31,0.092,-3.092
-0.057,0.255,-2.556
0.098,0.306,-1.876
0.129,0.474,-1.039
0.092,0.708,-0.189
0.119,0.848,0.422
0.087,0.807,1.208
0.025,0.822,2.074
-0.089,0.816,2.917
